================================================================
LOSO Sonnet evaluation — starting 2026-05-15 00:28:58
================================================================
PID: 95627
Working dir: /Users/javencao/Library/CloudStorage/GoogleDrive-jacao@ucsd.edu/My Drive/知识库/MyBrain/projects/ece284-llm-ppg
Python: Python 3.14.0
Est cost: ~$6.48, est time: ~5.9 hours
Output: per-subject results/llm_lambda_loso_sonnet_s{1..12}.json
================================================================


[00:28:58] === Subj 1 START ===
  s1 w0: truth=74, pred=75.0, λ=0.20 err=0.6607929515418505
  s1 w68: truth=150, pred=150.0, λ=1.80 err=0.15772870662459582
  s1 w69: truth=151, pred=150.0, λ=1.80 err=1.2738853503184941
  s1 w70: truth=152, pred=150.0, λ=2.20 err=2.406417112299465
  s1 w71: truth=154, pred=90.0, λ=2.20 err=63.72168284789643
  s1 w72: truth=155, pred=90.0, λ=1.80 err=64.72312703583063
  s1 w73: truth=155, pred=90.0, λ=1.20 err=65.22875816993462
  s1 w74: truth=155, pred=90.0, λ=0.60 err=65.44041450777203
  s1 w75: truth=155, pred=90.0, λ=0.80 err=65.27950310559007
  s1 w76: truth=155, pred=157.5, λ=1.20 err=2.54132231404958
  s1 w77: truth=155, pred=67.5, λ=1.80 err=87.22312703583063
  s1 w78: truth=155, pred=135.0, λ=1.00 err=19.55531453362255
  s1 w79: truth=155, pred=150.0, λ=1.00 err=5.118924508790087
  s1 w80: truth=155, pred=157.5, λ=2.20 err=2.381075491209913
  s1 w81: truth=155, pred=75.0, λ=2.20 err=80.11892450879009
  s1 w82: truth=155, pred=30.0, λ=1.00 err=124.95867768595042
  s1 w83: truth=154, pred=45.0, λ=0.30 err=109.2207792207792
  s1 w84: truth=154, pred=82.5, λ=0.30 err=71.38768898488121
  s1 w85: truth=154, pred=150.0, λ=1.00 err=3.7216828478964317
  s1 w86: truth=153, pred=150.0, λ=1.00 err=2.896995708154492
  s1 w87: truth=153, pred=37.5, λ=2.20 err=115.23311897106106
  s1 w88: truth=152, pred=37.5, λ=1.20 err=114.62981744421907
  s1 w89: truth=152, pred=150.0, λ=1.00 err=1.5151515151515298
  s1 w90: truth=152, pred=150.0, λ=1.20 err=1.5151515151515298
  s1 w91: truth=152, pred=150.0, λ=1.20 err=1.5957446808510554
  s1 w92: truth=152, pred=150.0, λ=1.20 err=1.9189765458422414
  s1 w93: truth=152, pred=150.0, λ=1.80 err=2.0811099252934753
  s1 w94: truth=152, pred=150.0, λ=1.20 err=1.9189765458422414
  s1 w95: truth=152, pred=150.0, λ=1.20 err=1.75718849840257
  s1 w96: truth=152, pred=150.0, λ=1.80 err=1.5957446808510554
  s1 w97: truth=151, pred=150.0, λ=1.80 err=1.4346439957492123
  s1 w98: truth=152, pred=150.0, λ=1.80 err=1.75718849840257
  s1 w99: truth=152, pred=150.0, λ=1.20 err=1.5957446808510554
  s1 w100: truth=152, pred=150.0, λ=1.20 err=1.5957446808510554
  s1 w101: truth=151, pred=37.5, λ=1.20 err=113.93464399574921
  s1 w102: truth=151, pred=150.0, λ=1.20 err=0.9533898305084847
  s1 w103: truth=151, pred=142.5, λ=1.20 err=8.453389830508485
  s1 w104: truth=151, pred=157.5, λ=1.20 err=6.706349206349216
  s1 w105: truth=150, pred=187.5, λ=1.20 err=37.18354430379745
  s1 w106: truth=150, pred=97.5, λ=1.00 err=52.65806111696523
  s1 w107: truth=150, pred=90.0, λ=1.00 err=59.52780692549845
  s1 w108: truth=149, pred=150.0, λ=0.80 err=0.785340314136107
  s1 w109: truth=149, pred=150.0, λ=1.20 err=0.6289308176100405
  s1 w110: truth=150, pred=150.0, λ=1.20 err=0.472193074501547
  s1 w111: truth=150, pred=150.0, λ=1.20 err=0.15806111696522862
  s1 w112: truth=151, pred=150.0, λ=1.20 err=1.2738853503184941
  s1 w113: truth=153, pred=150.0, λ=1.80 err=2.5940996948118027
  s1 w114: truth=154, pred=150.0, λ=2.20 err=4.00410677618072
  s1 w115: truth=155, pred=82.5, λ=2.20 err=72.61892450879009
  s1 w116: truth=156, pred=82.5, λ=0.60 err=73.92151481888033
  s1 w117: truth=158, pred=90.0, λ=0.70 err=67.7287066246057
  s1 w118: truth=159, pred=90.0, λ=0.70 err=68.56236786469344
  s1 w119: truth=159, pred=90.0, λ=0.70 err=69.40488841657813
  s1 w120: truth=161, pred=82.5, λ=0.60 err=78.05045871559633
  s1 w121: truth=161, pred=75.0, λ=0.70 err=86.11707841031148
  s1 w122: truth=162, pred=157.5, λ=0.30 err=4.204312114989733
  s1 w123: truth=162, pred=165.0, λ=1.00 err=2.7960865087538593
  s1 w124: truth=162, pred=97.5, λ=2.20 err=64.83766233766232
  s1 w125: truth=163, pred=165.0, λ=1.00 err=2.293388429752042
  s1 w126: truth=163, pred=75.0, λ=1.80 err=87.86644951140065
  s1 w127: truth=163, pred=165.0, λ=1.00 err=2.1251292657704255
  s1 w128: truth=163, pred=75.0, λ=1.00 err=87.86644951140065
  s1 w129: truth=163, pred=165.0, λ=1.00 err=1.787564766839381
  s1 w130: truth=164, pred=157.5, λ=1.00 err=6.221413721413711
  s1 w131: truth=164, pred=165.0, λ=1.80 err=0.5949895615866296
  s1 w132: truth=165, pred=30.0, λ=1.80 err=134.9214659685864
  s1 w133: truth=165, pred=112.5, λ=1.80 err=52.94117647058823
  s1 w134: truth=166, pred=37.5, λ=1.00 err=128.11514195583598
  s1 w135: truth=165, pred=45.0, λ=1.00 err=120.44117647058823
  s1 w136: truth=165, pred=45.0, λ=0.30 err=119.9214659685864
  s1 w137: truth=164, pred=75.0, λ=0.30 err=89.40501043841337
  s1 w138: truth=164, pred=45.0, λ=0.30 err=118.89177939646203
  s1 w139: truth=163, pred=45.0, λ=0.30 err=118.04347826086956
  s1 w140: truth=162, pred=37.5, λ=0.30 err=124.37050359712231
  s1 w141: truth=161, pred=30.0, λ=0.20 err=130.7717041800643
  s1 w142: truth=159, pred=157.5, λ=0.20 err=1.5668080593849538
  s1 w143: truth=157, pred=157.5, λ=0.30 err=0.10230849947532761
  s1 w144: truth=156, pred=157.5, λ=0.30 err=1.0870698644421282
  s1 w145: truth=156, pred=157.5, λ=0.20 err=1.8983402489626542
  s1 w146: truth=155, pred=157.5, λ=0.20 err=2.54132231404958
  s1 w147: truth=154, pred=157.5, λ=0.20 err=3.2792207792207932

=== Summary ===
  148 valid windows
  MAE: 28.44 BPM
  API calls: 148
  Tokens — uncached: 23651, cache_write: 5898, cache_read: 867006, out: 7393
  Cache hit rate: 96.7%
  Cost: $0.4641 USD
  Saved → results/llm_lambda_loso_sonnet_s1.json
  Cost-tracker entry → MyBrain/automation/logs/cost-tracker.jsonl
[00:36:33] === Subj 1 DONE (exit 0) ===

[00:36:33] === Subj 2 START ===
  s2 w0: truth=85, pred=52.5, λ=0.30 err=32.245762711864415
  s2 w1: truth=90, pred=90.0, λ=0.30 err=0.22850924918390092
  s2 w2: truth=93, pred=45.0, λ=0.30 err=47.59259259259258
  s2 w3: truth=89, pred=82.5, λ=0.30 err=6.496763754045304
  s2 w4: truth=84, pred=75.0, λ=0.30 err=9.364454443194603
  s2 w5: truth=81, pred=82.5, λ=0.30 err=1.2432286023835246
  s2 w6: truth=76, pred=75.0, λ=0.30 err=1.0992108229988844
  s2 w7: truth=73, pred=75.0, λ=0.30 err=2.0959902794653686
  s2 w8: truth=72, pred=67.5, λ=0.30 err=4.615384615384613
  s2 w9: truth=71, pred=60.0, λ=0.30 err=10.921985815602838
  s2 w10: truth=75, pred=75.0, λ=0.30 err=0.4143646408839743
  s2 w11: truth=77, pred=75.0, λ=0.30 err=1.7918088737201288
  s2 w12: truth=74, pred=75.0, λ=0.30 err=1.0679079956188389
  s2 w13: truth=73, pred=75.0, λ=0.20 err=1.9480519480519547
  s2 w14: truth=72, pred=75.0, λ=0.20 err=3.2296650717703272
  s2 w15: truth=70, pred=67.5, λ=0.30 err=2.0159629248197746
  s2 w16: truth=73, pred=67.5, λ=0.30 err=5.949401523394997
  s2 w17: truth=78, pred=60.0, λ=0.30 err=18.043704474505716
  s2 w18: truth=84, pred=90.0, λ=0.30 err=5.644171779141104
  s2 w19: truth=91, pred=90.0, λ=0.50 err=0.7590759075907556
  s2 w20: truth=94, pred=90.0, λ=1.80 err=3.537414965986386
  s2 w21: truth=95, pred=75.0, λ=2.20 err=19.827586206896555
  s2 w22: truth=96, pred=75.0, λ=2.20 err=21.359743040685217
  s2 w23: truth=97, pred=75.0, λ=2.20 err=22.29729729729729
  s2 w24: truth=99, pred=75.0, λ=2.20 err=23.68421052631578
  s2 w25: truth=101, pred=75.0, λ=2.20 err=26.141078838174266
  s2 w26: truth=104, pred=75.0, λ=2.20 err=28.686635944700456
  s2 w27: truth=105, pred=75.0, λ=2.20 err=29.83870967741936
  s2 w28: truth=105, pred=75.0, λ=2.20 err=29.951560818083948
  s2 w29: truth=104, pred=75.0, λ=2.20 err=29.055496264674474
  s2 w30: truth=104, pred=75.0, λ=2.20 err=28.833865814696495
  s2 w31: truth=103, pred=75.0, λ=2.20 err=28.393425238600216
  s2 w32: truth=103, pred=75.0, λ=2.20 err=28.393425238600216
  s2 w33: truth=103, pred=75.0, λ=2.20 err=28.329506314580925
  s2 w34: truth=103, pred=75.0, λ=2.20 err=28.28389830508476
  s2 w35: truth=104, pred=75.0, λ=2.20 err=28.686635944700456
  s2 w36: truth=104, pred=75.0, λ=2.20 err=29.278074866310163
  s2 w37: truth=105, pred=75.0, λ=2.20 err=29.772991850989513
  s2 w38: truth=107, pred=75.0, λ=2.20 err=31.557377049180317
  s2 w39: truth=108, pred=75.0, λ=2.20 err=33.47107438016529
  s2 w40: truth=110, pred=75.0, λ=2.20 err=34.832635983263614
  s2 w41: truth=111, pred=75.0, λ=2.20 err=35.79545454545456
  s2 w42: truth=111, pred=75.0, λ=2.20 err=36.111111111111114
  s2 w43: truth=111, pred=75.0, λ=2.20 err=36.34676564156946
  s2 w44: truth=112, pred=75.0, λ=2.20 err=37.17948717948718
  s2 w45: truth=113, pred=75.0, λ=2.20 err=37.660944206008566
  s2 w46: truth=113, pred=75.0, λ=2.20 err=38.39092872570194
  s2 w47: truth=114, pred=82.5, λ=2.20 err=31.879084967320253
  s2 w48: truth=116, pred=82.5, λ=1.20 err=33.39403973509933
  s2 w49: truth=117, pred=82.5, λ=2.20 err=34.932150313152405
  s2 w50: truth=119, pred=82.5, λ=2.20 err=36.673728813559336
  s2 w51: truth=121, pred=82.5, λ=1.80 err=38.20815450643775
  s2 w52: truth=122, pred=82.5, λ=0.40 err=39.51735357917569
  s2 w53: truth=123, pred=82.5, λ=1.80 err=40.72015334063528
  s2 w54: truth=124, pred=82.5, λ=1.80 err=41.981327800829874
  s2 w55: truth=126, pred=82.5, λ=1.80 err=43.286163522012586
  s2 w56: truth=127, pred=82.5, λ=0.60 err=44.48412698412699
  s2 w57: truth=128, pred=82.5, λ=0.60 err=45.842245989304814
  s2 w58: truth=129, pred=82.5, λ=1.80 err=46.949838187702255
  s2 w59: truth=131, pred=127.5, λ=2.30 err=3.0767138193688766
  s2 w60: truth=131, pred=82.5, λ=2.20 err=48.943298969072174
  s2 w61: truth=132, pred=82.5, λ=1.80 err=49.8042998897464
  s2 w62: truth=133, pred=82.5, λ=1.80 err=50.3125
  s2 w63: truth=134, pred=82.5, λ=1.80 err=51.00785340314138
  s2 w64: truth=135, pred=135.0, λ=2.20 err=0.3643083421330573
  s2 w65: truth=136, pred=135.0, λ=1.80 err=0.6382978723404449
  s2 w66: truth=137, pred=82.5, λ=2.20 err=54.44951664876476
  s2 w67: truth=138, pred=82.5, λ=1.80 err=55.255102040816325
  s2 w68: truth=139, pred=82.5, λ=1.80 err=56.23775843307942
  s2 w69: truth=139, pred=82.5, λ=2.20 err=56.675257731958766
  s2 w70: truth=139, pred=82.5, λ=2.30 err=56.81888544891643
  s2 w71: truth=140, pred=82.5, λ=2.30 err=57.14950711938664
  s2 w72: truth=140, pred=82.5, λ=2.30 err=57.54149377593362
  s2 w73: truth=140, pred=82.5, λ=0.60 err=57.9786680541103
  s2 w74: truth=141, pred=82.5, λ=2.20 err=58.38397790055251
  s2 w75: truth=141, pred=82.5, λ=2.20 err=58.713389121338935
  s2 w76: truth=141, pred=82.5, λ=2.20 err=58.713389121338935
  s2 w77: truth=141, pred=82.5, λ=2.20 err=58.53982300884957
  s2 w78: truth=140, pred=82.5, λ=2.20 err=57.832640332640324
  s2 w79: truth=140, pred=30.0, λ=1.80 err=109.60703205791108
  s2 w80: truth=139, pred=37.5, λ=1.00 err=101.69213973799125
  s2 w81: truth=139, pred=135.0, λ=0.30 err=3.7377584330794207
  s2 w82: truth=139, pred=142.5, λ=1.20 err=3.468074150360451
  s2 w83: truth=139, pred=142.5, λ=1.20 err=3.155737704918039
  s2 w84: truth=139, pred=142.5, λ=1.20 err=3.6111111111111143
  s2 w85: truth=138, pred=75.0, λ=1.80 err=63.46153846153845
  s2 w86: truth=138, pred=135.0, λ=1.20 err=2.6889848812095067
  s2 w87: truth=137, pred=75.0, λ=1.20 err=61.5015166835187
  s2 w88: truth=135, pred=135.0, λ=1.00 err=0.22198731501055136
  s2 w89: truth=133, pred=67.5, λ=0.30 err=65.83333333333334
  s2 w90: truth=132, pred=60.0, λ=1.00 err=71.98757763975155
  s2 w91: truth=130, pred=60.0, λ=0.30 err=70.15184381778741
  s2 w92: truth=128, pred=60.0, λ=1.80 err=68.34224598930481
  s2 w93: truth=126, pred=60.0, λ=1.80 err=66.18296529968455
  s2 w94: truth=124, pred=60.0, λ=1.20 err=63.898678414096906
  s2 w95: truth=123, pred=37.5, λ=1.80 err=85.9906695938529
  s2 w96: truth=123, pred=67.5, λ=1.20 err=55.45081967213113
  s2 w97: truth=122, pred=120.0, λ=0.30 err=2.1498371335504913
  s2 w98: truth=121, pred=120.0, λ=0.30 err=1.2284482758620499
  s2 w99: truth=120, pred=120.0, λ=0.30 err=0.1923076923076934
  s2 w100: truth=119, pred=120.0, λ=0.30 err=0.6998939554612917
  s2 w101: truth=119, pred=120.0, λ=0.30 err=1.3291139240506311
  s2 w102: truth=119, pred=120.0, λ=0.30 err=1.2038014783526876
  s2 w103: truth=119, pred=120.0, λ=0.60 err=0.826271186440664
  s2 w104: truth=119, pred=120.0, λ=1.20 err=0.5732484076433053
  s2 w105: truth=121, pred=120.0, λ=1.20 err=0.5787781350482106
  s2 w106: truth=121, pred=120.0, λ=1.80 err=1.4574898785425177
  s2 w107: truth=122, pred=82.5, λ=2.20 err=39.451219512195124
  s2 w108: truth=123, pred=82.5, λ=2.20 err=40.32497441146367
  s2 w109: truth=123, pred=82.5, λ=2.20 err=40.57692307692308
  s2 w110: truth=124, pred=82.5, λ=2.30 err=41.53528114663726
  s2 w111: truth=126, pred=82.5, λ=2.30 err=43.33892617449665
  s2 w112: truth=128, pred=127.5, λ=2.30 err=0.02391073326249682
  s2 w113: truth=129, pred=127.5, λ=2.20 err=1.1173633440514266
  s2 w114: truth=130, pred=127.5, λ=2.20 err=2.0896328293736417
  s2 w115: truth=131, pred=82.5, λ=2.20 err=48.00153531218015
  s2 w116: truth=132, pred=82.5, λ=2.20 err=49.368131868131854
  s2 w117: truth=133, pred=82.5, λ=2.20 err=50.86820083682011
  s2 w118: truth=135, pred=135.0, λ=2.30 err=0.06355932203391035
  s2 w119: truth=137, pred=135.0, λ=2.20 err=2.0967741935483843
  s2 w120: truth=139, pred=82.5, λ=2.20 err=56.388888888888886
  s2 w121: truth=140, pred=82.5, λ=2.20 err=57.832640332640324
  s2 w122: truth=141, pred=82.5, λ=2.20 err=58.41858037578288
  s2 w123: truth=142, pred=82.5, λ=2.30 err=59.157922350472205
  s2 w124: truth=142, pred=82.5, λ=2.20 err=59.009433962264154
  s2 w125: truth=142, pred=142.5, λ=2.20 err=0.8333333333333144
  s2 w126: truth=142, pred=82.5, λ=1.80 err=59.157922350472205
  s2 w127: truth=142, pred=82.5, λ=1.00 err=59.45583596214513
  s2 w128: truth=143, pred=82.5, λ=0.80 err=60.206131078224104
  s2 w129: truth=143, pred=82.5, λ=1.80 err=60.86016096579476
  s2 w130: truth=144, pred=82.5, λ=2.20 err=61.730769230769226
  s2 w131: truth=145, pred=82.5, λ=1.80 err=62.50537056928033
  s2 w132: truth=146, pred=82.5, λ=2.30 err=63.76218851570965
  s2 w133: truth=147, pred=82.5, λ=1.80 err=64.71919302071973
  s2 w134: truth=148, pred=82.5, λ=2.30 err=65.62889812889813
  s2 w135: truth=149, pred=82.5, λ=2.30 err=66.09228362878
  s2 w136: truth=149, pred=82.5, λ=1.80 err=66.09228362878
  s2 w137: truth=148, pred=82.5, λ=1.20 err=65.62889812889813
  s2 w138: truth=147, pred=82.5, λ=1.20 err=64.86297828335057
  s2 w139: truth=146, pred=82.5, λ=0.70 err=63.504098360655746
  s2 w140: truth=145, pred=82.5, λ=0.30 err=62.03961456102783
  s2 w141: truth=143, pred=37.5, λ=0.50 err=105.96439957492032
  s2 w142: truth=142, pred=105.0, λ=0.30 err=37.40506329113924
  s2 w143: truth=142, pred=142.5, λ=1.00 err=0.9905660377358458
  s2 w144: truth=140, pred=142.5, λ=0.30 err=2.1673596673596762
  s2 w145: truth=138, pred=142.5, λ=0.30 err=4.038461538461547
  s2 w146: truth=137, pred=135.0, λ=0.30 err=1.8025751072961214
  s2 w147: truth=135, pred=135.0, λ=0.30 err=0.206786850477215

=== Summary ===
  148 valid windows
  MAE: 33.98 BPM
  API calls: 148
  Tokens — uncached: 23651, cache_write: 0, cache_read: 872904, out: 7950
  Cache hit rate: 97.4%
  Cost: $0.4521 USD
  Saved → results/llm_lambda_loso_sonnet_s2.json
  Cost-tracker entry → MyBrain/automation/logs/cost-tracker.jsonl
[00:44:38] === Subj 2 DONE (exit 0) ===

[00:44:38] === Subj 3 START ===
  s3 w0: truth=104, pred=105.0, λ=0.30 err=0.944500000000005
  s3 w1: truth=104, pred=105.0, λ=0.30 err=0.7219000000000051
  s3 w2: truth=102, pred=105.0, λ=0.30 err=2.9591999999999956
  s3 w3: truth=98, pred=97.5, λ=0.40 err=0.7532999999999959
  s3 w4: truth=94, pred=90.0, λ=0.30 err=4.285700000000006
  s3 w5: truth=94, pred=90.0, λ=0.30 err=4.339600000000004
  s3 w6: truth=96, pred=97.5, λ=0.30 err=1.8571000000000026
  s3 w7: truth=96, pred=97.5, λ=0.30 err=1.243300000000005
  s3 w8: truth=95, pred=97.5, λ=0.40 err=2.261899999999997
  s3 w9: truth=92, pred=90.0, λ=0.40 err=1.7686000000000064
  s3 w10: truth=91, pred=90.0, λ=0.30 err=1.463399999999993
  s3 w11: truth=91, pred=90.0, λ=0.30 err=0.9591999999999956
  s3 w12: truth=89, pred=90.0, λ=0.20 err=0.8108000000000004
  s3 w13: truth=85, pred=82.5, λ=0.30 err=2.150099999999995
  s3 w14: truth=84, pred=82.5, λ=0.30 err=1.2053999999999974
  s3 w15: truth=86, pred=82.5, λ=0.30 err=3.5271000000000043
  s3 w16: truth=90, pred=82.5, λ=0.30 err=7.663899999999998
  s3 w17: truth=93, pred=90.0, λ=0.30 err=3.361000000000004
  s3 w18: truth=95, pred=97.5, λ=0.40 err=2.4539000000000044
  s3 w19: truth=97, pred=97.5, λ=1.20 err=0.3078000000000003
  s3 w20: truth=99, pred=97.5, λ=2.20 err=1.9475000000000051
  s3 w21: truth=102, pred=75.0, λ=2.20 err=26.694900000000004
  s3 w22: truth=103, pred=105.0, λ=1.20 err=1.825400000000002
  s3 w23: truth=104, pred=75.0, λ=1.00 err=29.166700000000006
  s3 w24: truth=105, pred=105.0, λ=1.80 err=0.2916000000000025
  s3 w25: truth=107, pred=105.0, λ=1.80 err=2.025199999999998
  s3 w26: truth=108, pred=75.0, λ=1.80 err=33.2131
  s3 w27: truth=109, pred=105.0, λ=1.80 err=4.060400000000001
  s3 w28: truth=109, pred=75.0, λ=1.20 err=34.48909999999999
  s3 w29: truth=110, pred=75.0, λ=1.80 err=35.2941
  s3 w30: truth=112, pred=112.5, λ=2.20 err=0.7978999999999985
  s3 w31: truth=113, pred=112.5, λ=2.20 err=0.524799999999999
  s3 w32: truth=115, pred=112.5, λ=1.80 err=2.0037999999999982
  s3 w33: truth=115, pred=112.5, λ=1.80 err=2.3795999999999964
  s3 w34: truth=116, pred=112.5, λ=2.20 err=3.0031000000000034
  s3 w35: truth=116, pred=112.5, λ=1.80 err=3.359899999999996
  s3 w36: truth=116, pred=112.5, λ=1.80 err=3.5220999999999947
  s3 w37: truth=116, pred=112.5, λ=1.80 err=3.5220999999999947
  s3 w38: truth=116, pred=120.0, λ=2.20 err=3.7209000000000003
  s3 w39: truth=117, pred=120.0, λ=1.80 err=2.943100000000001
  s3 w40: truth=117, pred=120.0, λ=1.80 err=2.6902999999999935
  s3 w41: truth=118, pred=82.5, λ=2.20 err=35.177800000000005
  s3 w42: truth=119, pred=120.0, λ=1.80 err=1.4542000000000002
  s3 w43: truth=120, pred=82.5, λ=1.80 err=37.180899999999994
  s3 w44: truth=122, pred=82.5, λ=1.80 err=39.25320000000001
  s3 w45: truth=125, pred=127.5, λ=1.80 err=2.889399999999995
  s3 w46: truth=126, pred=82.5, λ=1.80 err=43.948899999999995
  s3 w47: truth=128, pred=127.5, λ=1.00 err=0.9797000000000082
  s3 w48: truth=130, pred=82.5, λ=1.00 err=47.73490000000001
  s3 w49: truth=132, pred=82.5, λ=1.00 err=49.65860000000001
  s3 w50: truth=134, pred=135.0, λ=1.00 err=0.9305999999999983
  s3 w51: truth=136, pred=135.0, λ=1.20 err=0.6382999999999868
  s3 w52: truth=137, pred=82.5, λ=1.80 err=54.74430000000001
  s3 w53: truth=139, pred=82.5, λ=0.40 err=56.53190000000001
  s3 w54: truth=141, pred=82.5, λ=0.80 err=58.565799999999996
  s3 w55: truth=143, pred=82.5, λ=0.70 err=60.86019999999999
  s3 w56: truth=146, pred=82.5, λ=1.80 err=63.2055
  s3 w57: truth=148, pred=82.5, λ=1.80 err=65.0155
  s3 w58: truth=149, pred=150.0, λ=2.30 err=1.0971999999999866
  s3 w59: truth=149, pred=82.5, λ=2.20 err=66.87110000000001
  s3 w60: truth=149, pred=82.5, λ=1.80 err=66.50659999999999
  s3 w61: truth=149, pred=82.5, λ=0.60 err=66.3423
  s3 w62: truth=148, pred=82.5, λ=1.20 err=65.68879999999999
  s3 w63: truth=148, pred=82.5, λ=0.60 err=65.041
  s3 w64: truth=148, pred=82.5, λ=0.70 err=65.0155
